,id,date,text,favorite_count
0,1312763298098667525,Sun Oct 04 14:35:34 +0000 2020,"“I’ve got nothing left to lose, nothing can hurt me anymore. My life is nothing but a comedy.” 🤡 #jokermovie… https://t.co/Ss6pdN1OJz",20
56,1312207636327137285,Sat Oct 03 01:47:34 +0000 2020,🆕 First Look: 𝗛𝗲𝗮𝘁𝗵 𝗟𝗲𝗱𝗴𝗲𝗿 and 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Busts by Infinity Studio at Wonde… https://t.co/Bm42eq7js2,9
46,1312428619944222720,Sat Oct 03 16:25:41 +0000 2020,"- Joker (2019)
Director: Todd Phillips

#Joker #JoaquinPhoenix #JokerMovie #ToddPhillips #hollywood #hollywoodmovie… https://t.co/vQa7GsCvA8",9
39,1312534746887409664,Sat Oct 03 23:27:24 +0000 2020,"‘Joker’ was released a year ago today 🎉 

#FilmTwitter #Films #Movies #Joker #JokerMovie #JoaquinPhoenix… https://t.co/jBrLXPPNng",7
62,1312203136606457856,Sat Oct 03 01:29:41 +0000 2020,🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Infinity Studio at Wonder Festi… https://t.co/0OpknfvUYz,7
7,1312745042868604928,Sun Oct 04 13:23:02 +0000 2020,One Year Ago. Still my favorite DC movie of all time. #jokermovie https://t.co/HHYrZjt1kR,6
84,1312192576175271937,Sat Oct 03 00:47:44 +0000 2020,"🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen… https://t.co/Alp1F2GZzv",6
82,1312192823781814272,Sat Oct 03 00:48:43 +0000 2020,"🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen… https://t.co/YmtqZdE3g1",3
35,1312606745794015234,Sun Oct 04 04:13:29 +0000 2020,"On this day a year ago Joker, with a great lead performance by Joaquin Phoenix, was released. #JokerMovie https://t.co/Wf6Vfo4NPE",3
29,1312649804485259264,Sun Oct 04 07:04:35 +0000 2020,One year ago this masterpiece came out in theaters #jokermovie https://t.co/wQEOCxMAix,3
53,1312208884170330112,Sat Oct 03 01:52:32 +0000 2020,🆕 First Look: 𝗛𝗲𝗮𝘁𝗵 𝗟𝗲𝗱𝗴𝗲𝗿 and 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Busts by Infinity Studio at Wonde… https://t.co/fwsh4LpAsT,3
80,1312193937973501955,Sat Oct 03 00:53:08 +0000 2020,🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust + 1/3 Scale Statue by Queen Studio… https://t.co/guv8hho15U,3
51,1312241936602857472,Sat Oct 03 04:03:52 +0000 2020,"Joker: Is it just me, or is it crazier out there?

Hope everyone had a safe and happy week. Better time’s to come.… https://t.co/nGWRxSA6hu",3
81,1312193046243500033,Sat Oct 03 00:49:36 +0000 2020,"🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Queen Studios. 🤡
@Studios_Queen… https://t.co/46WqGoVSGb",2
43,1312447174978928641,Sat Oct 03 17:39:25 +0000 2020,This movie is 1 year old already and it became one of my favorite movies after I came out of that cinema. Joaquin r… https://t.co/jo0R88x1MY,2
